DESCRIPCION_VIGIFLOW,DESCRIPCION_DHIS2,DESCRIPCION_HOMOLOGADA
*SAN FRANCISCO DEL VERGEL (190257),*SAN FRANCISCO DEL VERGEL (190257),*SAN FRANCISCO DEL VERGEL (190257)
PUNIN (060158),PUNIN (060158),PUNIN
SAN FCO. DE SIGSIPAMBA (100553),SAN FCO. DE SIGSIPAMBA (100553),SAN FCO. DE SIGSIPAMBA
SAN CARLOS DE LAS MINAS (190158),SAN CARLOS DE LAS MINAS (190158),SAN CARLOS DE LAS MINAS
*ZUMBI (190157),*ZUMBI (190157),*ZUMBI (190157)
PENIPE (060950),PENIPE (060950),PENIPE
EL CISNE (110153),EL CISNE (110153),EL CISNE
TENA (150150),TENA (150150),TENA
*PEDRO VICENTE MALDONADO (170173),*PEDRO VICENTE MALDONADO (170173),*PEDRO VICENTE MALDONADO (170173)
BAÑOS (010151),BAÑOS (010151),BAÑOS
BELLAVISTA (200351),BELLAVISTA (200351),BELLAVISTA
SAN CARLOS DE LIMÓN (SAN CARLOS DEL ZAMORA) (140354),SAN CARLOS DE LIMÓN (SAN CARLOS DEL ZAMORA) (140354),SAN CARLOS DE LIMÓN (SAN CARLOS DEL ZAMORA)
12 DE DICIEMBRE (CAB. EN ACHIOTES) (111452),12 DE DICIEMBRE (CAB. EN ACHIOTES) (111452),12 DE DICIEMBRE (CAB. EN ACHIOTES)
TUMBABIRO (100655),TUMBABIRO (100655),TUMBABIRO
ELOY ALFARO (DURAN) (090701),ELOY ALFARO (DURAN) (090701),ELOY ALFARO (DURAN)
*MOCACHE (120552),*MOCACHE (120552),*MOCACHE (120552)
SAN JACINTO DEL BUA (230154),SAN JACINTO DEL BUA (230154),SAN JACINTO DEL BUA
ELOY ALFARO (130805),ELOY ALFARO (130805),ELOY ALFARO
BILOVAN (020552),BILOVAN (020552),BILOVAN
POMONA (160157),POMONA (160157),POMONA
LA CHONTA (190254),LA CHONTA (190254),LA CHONTA
SARAGURO (111150),SARAGURO (111150),SARAGURO
TULCAN (URBANO) (040102),TULCAN (URBANO) (040102),TULCAN (URBANO)
*AVILA (150351),*AVILA (150351),*AVILA (150351)
TACHINA (080166),TACHINA (080166),TACHINA
GUIZHAGUIÑA (071354),GUIZHAGUIÑA (071354),GUIZHAGUIÑA
NARCISA DE JESUS (092550),NARCISA DE JESUS (092550),NARCISA DE JESUS
LA LIBERTAD (170120),LA LIBERTAD (170120),LA LIBERTAD
PUERTO LIBRE (210254),PUERTO LIBRE (210254),PUERTO LIBRE
SINSAO (071358),SINSAO (071358),SINSAO
CALDERON (CARAPUNGO) (170155),CALDERON (CARAPUNGO) (170155),CALDERON (CARAPUNGO)
SEVILLA (060258),SEVILLA (060258),SEVILLA
VACAS GALINDO (EL CHURO) (CAB. EN SAN MIGUEL ALTO) (100358),VACAS GALINDO (EL CHURO) (CAB. EN SAN MIGUEL ALTO) (100358),VACAS GALINDO (EL CHURO) (CAB. EN SAN MIGUEL ALTO)
LLOA (170166),LLOA (170166),LLOA
GONZALO DIAZ DE PINEDA (EL BOMBON) (150451),GONZALO DIAZ DE PINEDA (EL BOMBON) (150451),GONZALO DIAZ DE PINEDA (EL BOMBON)
SAN JOSE DE RARANGA (010956),SAN JOSE DE RARANGA (010956),SAN JOSE DE RARANGA
SUSUDEL (011051),SUSUDEL (011051),SUSUDEL
ATAHUALPA (240151),ATAHUALPA (240151),ATAHUALPA
SAN LUIS (060161),SAN LUIS (060161),SAN LUIS
*GUACHAPALA (010555),*GUACHAPALA (010555),*GUACHAPALA (010555)
*CRNEL. LORENZO DE GARAICOA (PEDREGAL) (092051),*CRNEL. LORENZO DE GARAICOA (PEDREGAL) (092051),*CRNEL. LORENZO DE GARAICOA (PEDREGAL) (092051)
LA MERCED (170164),LA MERCED (170164),LA MERCED
SANTA ROSA (200352),SANTA ROSA (200352),SANTA ROSA
SAN ANDRES (060754),SAN ANDRES (060754),SAN ANDRES
COJIMIES (131751),COJIMIES (131751),COJIMIES
SAN MATEO (091905),SAN MATEO (091905),SAN MATEO
PUERTO QUITO (170901),PUERTO QUITO (170901),PUERTO QUITO
CHONE (RURAL) (130350),CHONE (RURAL) (130350),CHONE (RURAL)
BELLAVISTA (190951),BELLAVISTA (190951),BELLAVISTA
*SUSCAL (030359),*SUSCAL (030359),*SUSCAL (030359)
CALUMA (020650),CALUMA (020650),CALUMA
LICAN (060155),LICAN (060155),LICAN
*ISIDRO AYORA (SOLEDAD) (090651),*ISIDRO AYORA (SOLEDAD) (090651),*ISIDRO AYORA (SOLEDAD) (090651)
MALIMPIA (080453),MALIMPIA (080453),MALIMPIA
ZAMORA (190150),ZAMORA (190150),ZAMORA
TENDALES (CAB. EN PUERTO TENDALES) (070653),TENDALES (CAB. EN PUERTO TENDALES) (070653),TENDALES (CAB. EN PUERTO TENDALES)
PELIELO GRANDE (180702),PELIELO GRANDE (180702),PELIELO GRANDE
GENERAL FARFAN (210153),GENERAL FARFAN (210153),GENERAL FARFAN
*SAN ANTONIO DE LAS ARADAS (CAB. EN LAS ARADAS) (110757),*SAN ANTONIO DE LAS ARADAS (CAB. EN LAS ARADAS) (110757),*SAN ANTONIO DE LAS ARADAS (CAB. EN LAS ARADAS) (110757)
AZOGUES (030102),AZOGUES (030102),AZOGUES
GIRON (010250),GIRON (010250),GIRON
INDANZA (140351),INDANZA (140351),INDANZA
*TARAPOA (210154),*TARAPOA (210154),*TARAPOA (210154)
NUEVA TRONCAL (210653),NUEVA TRONCAL (210653),NUEVA TRONCAL
JULIO ANDRADE (OREJUELA) (040153),JULIO ANDRADE (OREJUELA) (040153),JULIO ANDRADE (OREJUELA)
EL TAMBO (030550),EL TAMBO (030550),EL TAMBO
PEDRO CARBO (090103),PEDRO CARBO (090103),PEDRO CARBO
EL TRIUNFO (090950),EL TRIUNFO (090950),EL TRIUNFO
NANEGAL (170168),NANEGAL (170168),NANEGAL
*LOGROÑO (140653),*LOGROÑO (140653),*LOGROÑO (140653)
POSORJA (090156),POSORJA (090156),POSORJA
COLIMES (090550),COLIMES (090550),COLIMES
TAYUZA (140556),TAYUZA (140556),TAYUZA
PICAIGUA (180160),PICAIGUA (180160),PICAIGUA
SAN JOSE DE AYORA (170256),SAN JOSE DE AYORA (170256),SAN JOSE DE AYORA
*LAS LAJAS (CAB. EN LA VICTORIA) (070253),*LAS LAJAS (CAB. EN LA VICTORIA) (070253),*LAS LAJAS (CAB. EN LA VICTORIA) (070253)
SAN SEBASTIAN (020354),SAN SEBASTIAN (020354),SAN SEBASTIAN
PEDRO CARBO (091450),PEDRO CARBO (091450),PEDRO CARBO
AMBATO (180150),AMBATO (180150),AMBATO
YUNGANZA (CAB EN EL ROSARIO) (140358),YUNGANZA (CAB EN EL ROSARIO) (140358),YUNGANZA (CAB EN EL ROSARIO)
*BUENA FÉ (120551),*BUENA FÉ (120551),*BUENA FÉ (120551)
TIXAN (060260),TIXAN (060260),TIXAN
GUALACEO (010350),GUALACEO (010350),GUALACEO
SAN FERNANDO (010750),SAN FERNANDO (010750),SAN FERNANDO
CONCEPCION (040451),CONCEPCION (040451),CONCEPCION
SANTO DOMINGO DE LOS COLORADOS (RURAL) (230150),SANTO DOMINGO DE LOS COLORADOS (RURAL) (230150),SANTO DOMINGO DE LOS COLORADOS (RURAL)
PUERTO DE CAYO (130658),PUERTO DE CAYO (130658),PUERTO DE CAYO
ATACAMES (080650),ATACAMES (080650),ATACAMES
COCHAPAMBA (170104),COCHAPAMBA (170104),COCHAPAMBA
BALSAPAMBA (020551),BALSAPAMBA (020551),BALSAPAMBA
MORALES (071152),MORALES (071152),MORALES
AYORA (170201),AYORA (170201),AYORA
MARCOS ESPINEL (CHACATA) (180853),MARCOS ESPINEL (CHACATA) (180853),MARCOS ESPINEL (CHACATA)
IMBANA (LA VICTORIA DE IMBANA) (190153),IMBANA (LA VICTORIA DE IMBANA) (190153),IMBANA (LA VICTORIA DE IMBANA)
JAMBELI (210157),JAMBELI (210157),JAMBELI
JUMON (SATELITE) (071204),JUMON (SATELITE) (071204),JUMON (SATELITE)
SAQUISILI (050650),SAQUISILI (050650),SAQUISILI
ILAPO (060752),ILAPO (060752),ILAPO
COLON (130103),COLON (130103),COLON
SAN FERNANDO (PASA SAN FERNANDO) (180164),SAN FERNANDO (PASA SAN FERNANDO) (180164),SAN FERNANDO (PASA SAN FERNANDO)
*VALLADOLID (190258),*VALLADOLID (190258),*VALLADOLID (190258)
SAN ANDRES (190259),SAN ANDRES (190259),SAN ANDRES
VUELTA LARGA (080168),VUELTA LARGA (080168),VUELTA LARGA
LA UNION (080651),LA UNION (080651),LA UNION
HUIGRA (060254),HUIGRA (060254),HUIGRA
CHUGA (100551),CHUGA (100551),CHUGA
LA MANA (URBANO) (050202),LA MANA (URBANO) (050202),LA MANA (URBANO)
OYACACHI (150453),OYACACHI (150453),OYACACHI
GUANUJO (020103),GUANUJO (020103),GUANUJO
MANUEL INOCENCIO PARRALES Y GUALE (130602),MANUEL INOCENCIO PARRALES Y GUALE (130602),MANUEL INOCENCIO PARRALES Y GUALE
PUJILI (050450),PUJILI (050450),PUJILI
SAN FRANCISCO (100104),SAN FRANCISCO (100104),SAN FRANCISCO
CHORDELEG (011150),CHORDELEG (011150),CHORDELEG
CHANDUY (240153),CHANDUY (240153),CHANDUY
LASCANO (131054),LASCANO (131054),LASCANO
VICENTE ROCAFUERTE (091007),VICENTE ROCAFUERTE (091007),VICENTE ROCAFUERTE
CUMANDA (CAB EN COLONIA AGRICOLA SEVILLA DEL ORO) (140452),CUMANDA (CAB EN COLONIA AGRICOLA SEVILLA DEL ORO) (140452),CUMANDA (CAB EN COLONIA AGRICOLA SEVILLA DEL ORO)
CAÑARIBAMBA (010116),CAÑARIBAMBA (010116),CAÑARIBAMBA
*LAGARTO (080157),*LAGARTO (080157),*LAGARTO (080157)
BELISARIO QUEVEDO (GUANAILIN) (050152),BELISARIO QUEVEDO (GUANAILIN) (050152),BELISARIO QUEVEDO (GUANAILIN)
EL SALITRE (LAS RAMAS) (091950),EL SALITRE (LAS RAMAS) (091950),EL SALITRE (LAS RAMAS)
MALDONADO (060102),MALDONADO (060102),MALDONADO
SAN ROQUE (CAB. EN SAN VICENTE) (210453),SAN ROQUE (CAB. EN SAN VICENTE) (210453),SAN ROQUE (CAB. EN SAN VICENTE)
EL CAMBIO (070105),EL CAMBIO (070105),EL CAMBIO
LAS NAVES (020702),LAS NAVES (020702),LAS NAVES
SAN MIGUEL (050550),SAN MIGUEL (050550),SAN MIGUEL
LA ESMERALDA (120351),LA ESMERALDA (120351),LA ESMERALDA
RIO TIGRE (160159),RIO TIGRE (160159),RIO TIGRE
SAN JACINTO DE BUENA FE (URBANO) (121001),SAN JACINTO DE BUENA FE (URBANO) (121001),SAN JACINTO DE BUENA FE (URBANO)
MORRO (090153),MORRO (090153),MORRO
CANDILEJOS (091902),CANDILEJOS (091902),CANDILEJOS
MACAS (140150),MACAS (140150),MACAS
PROGRESO (070954),PROGRESO (070954),PROGRESO
ALOASI (170352),ALOASI (170352),ALOASI
ALTO TAMBO (CAB EN GUADUAL) (080551),ALTO TAMBO (CAB EN GUADUAL) (080551),ALTO TAMBO (CAB EN GUADUAL)
SUCRE (010112),SUCRE (010112),SUCRE
SANTA MARIA (CAB EN SANTA MARIA) (130453),SANTA MARIA (CAB EN SANTA MARIA) (130453),SANTA MARIA (CAB EN SANTA MARIA)
SAN CARLOS (120553),SAN CARLOS (120553),SAN CARLOS
ISIDRO AYORA (092850),ISIDRO AYORA (092850),ISIDRO AYORA
LA TINGUE (111651),LA TINGUE (111651),LA TINGUE
OLMEDO (131850),OLMEDO (131850),OLMEDO
YANGANA (ARSENIO CASTILLO) (110162),YANGANA (ARSENIO CASTILLO) (110162),YANGANA (ARSENIO CASTILLO)
SAN JUAN BOSCO (140850),SAN JUAN BOSCO (140850),SAN JUAN BOSCO
TALAG (150157),TALAG (150157),TALAG
ALSHI (CAB EN 9 DE OCTUBRE) (140151),ALSHI (CAB EN 9 DE OCTUBRE) (140151),ALSHI (CAB EN 9 DE OCTUBRE)
SAN FRANCISCO DE CHINIMBIMI (140557),SAN FRANCISCO DE CHINIMBIMI (140557),SAN FRANCISCO DE CHINIMBIMI
CHECA (JIDCAY) (010154),CHECA (JIDCAY) (010154),CHECA (JIDCAY)
*PUERTO MURIALDO (150355),*PUERTO MURIALDO (150355),*PUERTO MURIALDO (150355)
PACCHA (010160),PACCHA (010160),PACCHA
LA PROVIDENCIA (070101),LA PROVIDENCIA (070101),LA PROVIDENCIA
DUG DUG (010562),DUG DUG (010562),DUG DUG
LATACUNGA (050150),LATACUNGA (050150),LATACUNGA
CARCELEN (170102),CARCELEN (170102),CARCELEN
EL CHICAL (040159),EL CHICAL (040159),EL CHICAL
LA SUSAYA (071002),LA SUSAYA (071002),LA SUSAYA
* LA LIBERTAD (070252),* LA LIBERTAD (070252),* LA LIBERTAD (070252)
CHANTILIN (050652),CHANTILIN (050652),CHANTILIN
LA PROVIDENCIA (060753),LA PROVIDENCIA (060753),LA PROVIDENCIA
ALANGASI (170151),ALANGASI (170151),ALANGASI
LLAGOS (060554),LLAGOS (060554),LLAGOS
JIPIJAPA (170114),JIPIJAPA (170114),JIPIJAPA
PRESIDENTE URBINA (CHAGRAPAMBA -PATZUCUL) (180854),PRESIDENTE URBINA (CHAGRAPAMBA -PATZUCUL) (180854),PRESIDENTE URBINA (CHAGRAPAMBA -PATZUCUL)
ESMERALDAS (URBANO) (080103),ESMERALDAS (URBANO) (080103),ESMERALDAS (URBANO)
TULULBI (CAB. EN RICAURTE) (080561),TULULBI (CAB. EN RICAURTE) (080561),TULULBI (CAB. EN RICAURTE)
SAN CARLOS (091152),SAN CARLOS (091152),SAN CARLOS
EL ROSARIO (090852),EL ROSARIO (090852),EL ROSARIO
GUALAQUIZA (RURAL) (140250),GUALAQUIZA (RURAL) (140250),GUALAQUIZA (RURAL)
TIPUTINI (220254),TIPUTINI (220254),TIPUTINI
GUAMBALO (HUAMBALO) (180757),GUAMBALO (HUAMBALO) (180757),GUAMBALO (HUAMBALO)
ROBERTO ASTUDILLO (CAB. EN CRUCE DE VENECIA) (091054),ROBERTO ASTUDILLO (CAB. EN CRUCE DE VENECIA) (091054),ROBERTO ASTUDILLO (CAB. EN CRUCE DE VENECIA)
CUBIJIES (060153),CUBIJIES (060153),CUBIJIES
GABRIEL IGNACIO VEINTIMILLA (020102),GABRIEL IGNACIO VEINTIMILLA (020102),GABRIEL IGNACIO VEINTIMILLA
*DÉLEG (030152),*DÉLEG (030152),*DÉLEG (030152)
ULBA (180254),ULBA (180254),ULBA
SABANILLA (190155),SABANILLA (190155),SABANILLA
LAGARTO (080753),LAGARTO (080753),LAGARTO
MALDONADO (080256),MALDONADO (080256),MALDONADO
TABACUNDO (170450),TABACUNDO (170450),TABACUNDO
VALLE HERMOSO (071403),VALLE HERMOSO (071403),VALLE HERMOSO
COLUMBE (060352),COLUMBE (060352),COLUMBE
TISALEO (180950),TISALEO (180950),TISALEO
COTOGCHOA (170551),COTOGCHOA (170551),COTOGCHOA
SANTA ROSA (180165),SANTA ROSA (180165),SANTA ROSA
27 DE ABRIL (CAB. EN LA NARANJA) (110654),27 DE ABRIL (CAB. EN LA NARANJA) (110654),27 DE ABRIL (CAB. EN LA NARANJA)
FATIMA (160155),FATIMA (160155),FATIMA
*PALO QUEMADO (050163),*PALO QUEMADO (050163),*PALO QUEMADO (050163)
EL LIMÓN (190101),EL LIMÓN (190101),EL LIMÓN
CONONACO (220252),CONONACO (220252),CONONACO
*GENERAL ELIZALDE (BUCAY) (091052),*GENERAL ELIZALDE (BUCAY) (091052),*GENERAL ELIZALDE (BUCAY) (091052)
MANTA (RURAL) (130850),MANTA (RURAL) (130850),MANTA (RURAL)
VALLE DE LA VIRGEN (091451),VALLE DE LA VIRGEN (091451),VALLE DE LA VIRGEN
CARIGAN (110105),CARIGAN (110105),CARIGAN
LODANA (131302),LODANA (131302),LODANA
CARIAMANGA (URBANO) (110201),CARIAMANGA (URBANO) (110201),CARIAMANGA (URBANO)
ELOY ALFARO (130355),ELOY ALFARO (130355),ELOY ALFARO
URDANETA (090113),URDANETA (090113),URDANETA
PORTOVIEJO (URBANO) (130101),PORTOVIEJO (URBANO) (130101),PORTOVIEJO (URBANO)
SANTA RITA (080559),SANTA RITA (080559),SANTA RITA
LORETO (220450),LORETO (220450),LORETO
LA PILA (130952),LA PILA (130952),LA PILA
PATAQUI (100454),PATAQUI (100454),PATAQUI
HUACHI LORETO (180104),HUACHI LORETO (180104),HUACHI LORETO
CHUCCHILAN (050452),CHUCCHILAN (050452),CHUCCHILAN
SAN PABLO (130105),SAN PABLO (130105),SAN PABLO
MATAJE (CAB. EN SANTANDER) (080557),MATAJE (CAB. EN SANTANDER) (080557),MATAJE (CAB. EN SANTANDER)
RAMON CAMPAÑA (050353),RAMON CAMPAÑA (050353),RAMON CAMPAÑA
CHUNCHI (060550),CHUNCHI (060550),CHUNCHI
ROCAFUERTE (090110),ROCAFUERTE (090110),ROCAFUERTE
PACCHA (070350),PACCHA (070350),PACCHA
QUILANGA (111550),QUILANGA (111550),QUILANGA
GONZOL (060553),GONZOL (060553),GONZOL
GUANO (060750),GUANO (060750),GUANO
SANTIAGO DE QUITO (CAB. EN SAN ANTONIO DE QUITO) (060354),SANTIAGO DE QUITO (CAB. EN SAN ANTONIO DE QUITO) (060354),SANTIAGO DE QUITO (CAB. EN SAN ANTONIO DE QUITO)
*TAISHA (140159),*TAISHA (140159),*TAISHA (140159)
CAYAMBE (URBANO) (170202),CAYAMBE (URBANO) (170202),CAYAMBE (URBANO)
SUCRE (110103),SUCRE (110103),SUCRE
GUACHANAMA (110952),GUACHANAMA (110952),GUACHANAMA
SAMBORONDON (URBANO) (091601),SAMBORONDON (URBANO) (091601),SAMBORONDON (URBANO)
*12 DE DICIEMBRE (CAB. EN ACHIOTES) (110453),*12 DE DICIEMBRE (CAB. EN ACHIOTES) (110453),*12 DE DICIEMBRE (CAB. EN ACHIOTES) (110453)
LOS ANDES (CAB. EN POATUG) (180552),LOS ANDES (CAB. EN POATUG) (180552),LOS ANDES (CAB. EN POATUG)
*VALENCIA (120554),*VALENCIA (120554),*VALENCIA (120554)
JAVIER LOYOLA (CHUQUIPATA) (030154),JAVIER LOYOLA (CHUQUIPATA) (030154),JAVIER LOYOLA (CHUQUIPATA)
LOS ENCUENTROS (190553),LOS ENCUENTROS (190553),LOS ENCUENTROS
CHILLA (070550),CHILLA (070550),CHILLA
HUERTAS (071355),HUERTAS (071355),HUERTAS
12 DE MARZO (130102),12 DE MARZO (130102),12 DE MARZO
*LOMAS DE SARGENTILLO (090655),*LOMAS DE SARGENTILLO (090655),*LOMAS DE SARGENTILLO (090655)
LA JOYA DE LOS SACHAS (220350),LA JOYA DE LOS SACHAS (220350),LA JOYA DE LOS SACHAS
*HUASAGA (CAB.EN WAMPUIK) (140154),*HUASAGA (CAB.EN WAMPUIK) (140154),*HUASAGA (CAB.EN WAMPUIK) (140154)
SHELL (160252),SHELL (160252),SHELL
LA ESPERANZA (120555),LA ESPERANZA (120555),LA ESPERANZA
CHAGUARPAMBA (110550),CHAGUARPAMBA (110550),CHAGUARPAMBA
NUEVA FATIMA (111251),NUEVA FATIMA (111251),NUEVA FATIMA
CHIBUNGA (130354),CHIBUNGA (130354),CHIBUNGA
GUADALUPE (190152),GUADALUPE (190152),GUADALUPE
LAS GOLONDRINAS (900151),LAS GOLONDRINAS (900151),LAS GOLONDRINAS
POALO (050158),POALO (050158),POALO
EMILIANO CAICEDO MARCOS (090604),EMILIANO CAICEDO MARCOS (090604),EMILIANO CAICEDO MARCOS
EL AIRO (110656),EL AIRO (110656),EL AIRO
SAN GABRIEL (040550),SAN GABRIEL (040550),SAN GABRIEL
TAQUIL (MIGUEL RIOFRIO) (110160),TAQUIL (MIGUEL RIOFRIO) (110160),TAQUIL (MIGUEL RIOFRIO)
ROCA (090109),ROCA (090109),ROCA
PASCUALES (090116),PASCUALES (090116),PASCUALES
SANTA LUCIA DE LAS PEÑAS (080265),SANTA LUCIA DE LAS PEÑAS (080265),SANTA LUCIA DE LAS PEÑAS
LA MATRIZ (060702),LA MATRIZ (060702),LA MATRIZ
CHAQUINAL (111451),CHAQUINAL (111451),CHAQUINAL
PIÑAS GRANDE (071003),PIÑAS GRANDE (071003),PIÑAS GRANDE
AUGUSTO N. MARTINEZ (MUNDUGLEO) (180153),AUGUSTO N. MARTINEZ (MUNDUGLEO) (180153),AUGUSTO N. MARTINEZ (MUNDUGLEO)
COJITAMBO (030151),COJITAMBO (030151),COJITAMBO
FEBRES CORDERO (090104),FEBRES CORDERO (090104),FEBRES CORDERO
EL GUABO (070650),EL GUABO (070650),EL GUABO
HATUN SUMAKU (150356),HATUN SUMAKU (150356),HATUN SUMAKU
LA CUCA (070256),LA CUCA (070256),LA CUCA
PUEBLOVIEJO (120450),PUEBLOVIEJO (120450),PUEBLOVIEJO
GENERAL ALBERTO ENRIQUEZ GALLO (240302),GENERAL ALBERTO ENRIQUEZ GALLO (240302),GENERAL ALBERTO ENRIQUEZ GALLO
GENERAL ELOY ALFARO (130905),GENERAL ELOY ALFARO (130905),GENERAL ELOY ALFARO
CONSTANTINO FERNANDEZ (CAB. EN CULLITAHUA) (180154),CONSTANTINO FERNANDEZ (CAB. EN CULLITAHUA) (180154),CONSTANTINO FERNANDEZ (CAB. EN CULLITAHUA)
PACAYACU (210156),PACAYACU (210156),PACAYACU
TONCHIGUE (080653),TONCHIGUE (080653),TONCHIGUE
*JARAMIJÓ (130951),*JARAMIJÓ (130951),*JARAMIJÓ (130951)
EL PLAYON DE SAN FRANCISCO (210551),EL PLAYON DE SAN FRANCISCO (210551),EL PLAYON DE SAN FRANCISCO
ASCAZUBI (170251),ASCAZUBI (170251),ASCAZUBI
ABDON CALDERON (SAN FRANCISCO) (130151),ABDON CALDERON (SAN FRANCISCO) (130151),ABDON CALDERON (SAN FRANCISCO)
VINCES (120850),VINCES (120850),VINCES
MONTALVO (ANDOAS) (160156),MONTALVO (ANDOAS) (160156),MONTALVO (ANDOAS)
JUNIN (130750),JUNIN (130750),JUNIN
SAN PABLO (100457),SAN PABLO (100457),SAN PABLO
ELOY ALFARO (SAN FELIPE) (050101),ELOY ALFARO (SAN FELIPE) (050101),ELOY ALFARO (SAN FELIPE)
SAN JOAQUIN (010163),SAN JOAQUIN (010163),SAN JOAQUIN
*PRINCIPAL (010355),*PRINCIPAL (010355),*PRINCIPAL (010355)
IMANTAG (100353),IMANTAG (100353),IMANTAG
SARAYACU (160161),SARAYACU (160161),SARAYACU
SAN JOSE DE DAHUANO (220454),SAN JOSE DE DAHUANO (220454),SAN JOSE DE DAHUANO
GUACHAPALA (011450),GUACHAPALA (011450),GUACHAPALA
GONZALO PIZARRO (210252),GONZALO PIZARRO (210252),GONZALO PIZARRO
MEMBRILLO (130251),MEMBRILLO (130251),MEMBRILLO
ALOAG (170351),ALOAG (170351),ALOAG
*LA UNIÓN (080158),*LA UNIÓN (080158),*LA UNIÓN (080158)
SOLANO (030651),SOLANO (030651),SOLANO
CIUDAD NUEVA (180801),CIUDAD NUEVA (180801),CIUDAD NUEVA
BARTOLOME RUIZ (CESAR FRANCO CARRION) (080101),BARTOLOME RUIZ (CESAR FRANCO CARRION) (080101),BARTOLOME RUIZ (CESAR FRANCO CARRION)
SEVILLA (210652),SEVILLA (210652),SEVILLA
SAN LUIS DE PAMBIL (020160),SAN LUIS DE PAMBIL (020160),SAN LUIS DE PAMBIL
SAN JUAN DE PASTOCALLE (050159),SAN JUAN DE PASTOCALLE (050159),SAN JUAN DE PASTOCALLE
CHUMUNDE (080752),CHUMUNDE (080752),CHUMUNDE
SIMON BOLIVAR (092250),SIMON BOLIVAR (092250),SIMON BOLIVAR
VALLADOLID (190853),VALLADOLID (190853),VALLADOLID
ARAJUNO (160450),ARAJUNO (160450),ARAJUNO
DAYUMA (220151),DAYUMA (220151),DAYUMA
PUCAPAMBA (190256),PUCAPAMBA (190256),PUCAPAMBA
SANTA ELENA (RURAL) (240150),SANTA ELENA (RURAL) (240150),SANTA ELENA (RURAL)
LA UNION (080455),LA UNION (080455),LA UNION
CENTRAL (091903),CENTRAL (091903),CENTRAL
SIBAMBE (060259),SIBAMBE (060259),SIBAMBE
RIO NEGRO (180252),RIO NEGRO (180252),RIO NEGRO
BALSAS (070450),BALSAS (070450),BALSAS
NONO (170171),NONO (170171),NONO
CAPITAN AUGUSTO RIVADENEYRA (220251),CAPITAN AUGUSTO RIVADENEYRA (220251),CAPITAN AUGUSTO RIVADENEYRA
PINDILIG (030156),PINDILIG (030156),PINDILIG
*CHIGUAZA (140152),*CHIGUAZA (140152),*CHIGUAZA (140152)
ARAPICOS (140451),ARAPICOS (140451),ARAPICOS
BELLAVISTA (010101),BELLAVISTA (010101),BELLAVISTA
CAMILO ANDRADE (091001),CAMILO ANDRADE (091001),CAMILO ANDRADE
CANELOS (160152),CANELOS (160152),CANELOS
BIBLIAN (030250),BIBLIAN (030250),BIBLIAN
SAN ISIDRO DE PATULU (060756),SAN ISIDRO DE PATULU (060756),SAN ISIDRO DE PATULU
LA BONITA (210550),LA BONITA (210550),LA BONITA
MONTALVO (120350),MONTALVO (120350),MONTALVO
CAMILO PONCE ENRIQUEZ (011550),CAMILO PONCE ENRIQUEZ (011550),CAMILO PONCE ENRIQUEZ
LA UNION (120155),LA UNION (120155),LA UNION
SAN JOSE DE CHIMBO (020350),SAN JOSE DE CHIMBO (020350),SAN JOSE DE CHIMBO
*HUACA (040152),*HUACA (040152),*HUACA (040152)
QUIMIAG (060159),QUIMIAG (060159),QUIMIAG
TRES DE NOVIEMBRE (220357),TRES DE NOVIEMBRE (220357),TRES DE NOVIEMBRE
NANKAIS (190353),NANKAIS (190353),NANKAIS
CHOBO (091051),CHOBO (091051),CHOBO
*CUMANDÁ (060252),*CUMANDÁ (060252),*CUMANDÁ (060252)
EL ALTAR (060951),EL ALTAR (060951),EL ALTAR
SANTA MARIANITA (BOCA DE PACOCHE) (130852),SANTA MARIANITA (BOCA DE PACOCHE) (130852),SANTA MARIANITA (BOCA DE PACOCHE)
PUCARA (010650),PUCARA (010650),PUCARA
PALANDA (190850),PALANDA (190850),PALANDA
SAN ANTONIO (100157),SAN ANTONIO (100157),SAN ANTONIO
CHAUCHA (010153),CHAUCHA (010153),CHAUCHA
OCHOA LEON (MATRIZ) (070903),OCHOA LEON (MATRIZ) (070903),OCHOA LEON (MATRIZ)
TENGUEL (090158),TENGUEL (090158),TENGUEL
LUDO (010954),LUDO (010954),LUDO
CHUQUIRIBAMBA (110152),CHUQUIRIBAMBA (110152),CHUQUIRIBAMBA
AMERICA (130651),AMERICA (130651),AMERICA
PUERTO BAQUERIZO MORENO (200150),PUERTO BAQUERIZO MORENO (200150),PUERTO BAQUERIZO MORENO
GUAYAQUIL (090150),GUAYAQUIL (090150),GUAYAQUIL
SUMAYPAMBA (111160),SUMAYPAMBA (111160),SUMAYPAMBA
PALMA ROJA (210351),PALMA ROJA (210351),PALMA ROJA
GENERAL MORALES (SOCARTE) (030353),GENERAL MORALES (SOCARTE) (030353),GENERAL MORALES (SOCARTE)
MALDONADO (040154),MALDONADO (040154),MALDONADO
TENIENTE MAXIMILIANO RODRIGUEZ LOAIZA (110457),TENIENTE MAXIMILIANO RODRIGUEZ LOAIZA (110457),TENIENTE MAXIMILIANO RODRIGUEZ LOAIZA
LAGO SAN PEDRO (220355),LAGO SAN PEDRO (220355),LAGO SAN PEDRO
*PAN DE AZÚCAR (140352),*PAN DE AZÚCAR (140352),*PAN DE AZÚCAR (140352)
AGUAS NEGRAS (210752),AGUAS NEGRAS (210752),AGUAS NEGRAS
