DESCRIPCION_VIGIFLOW,DESCRIPCION_DHIS2,DESCRIPCION_HOMOLOGADA
SAN PABLO DE USHPAYACU (150354),SAN PABLO DE USHPAYACU (150354),SAN PABLO DE USHPAYACU
*PAQUISHA (190751),*PAQUISHA (190751),*PAQUISHA (190751)
CHIGUINDA (140254),CHIGUINDA (140254),CHIGUINDA
SIMON BOLIVAR (130109),SIMON BOLIVAR (130109),SIMON BOLIVAR
ZUÑA (ZUÑAC) (140160),ZUÑA (ZUÑAC) (140160),ZUÑA (ZUÑAC)
CURTINCAPA (071151),CURTINCAPA (071151),CURTINCAPA
JARAMIJO (132150),JARAMIJO (132150),JARAMIJO
TAURA (091154),TAURA (091154),TAURA
CAPZOL (060551),CAPZOL (060551),CAPZOL
SALANGO (131952),SALANGO (131952),SALANGO
DIEZ DE AGOSTO (131752),DIEZ DE AGOSTO (131752),DIEZ DE AGOSTO
ALAUSI (060250),ALAUSI (060250),ALAUSI
EL ANEGADO (CAB. EN ELOY ALFARO) (130652),EL ANEGADO (CAB. EN ELOY ALFARO) (130652),EL ANEGADO (CAB. EN ELOY ALFARO)
GENERAL VILLAMIL (PLAYAS) (092150),GENERAL VILLAMIL (PLAYAS) (092150),GENERAL VILLAMIL (PLAYAS)
GARCIA MORENO (220156),GARCIA MORENO (220156),GARCIA MORENO
ATUNTAQUI (RURAL) (100250),ATUNTAQUI (RURAL) (100250),ATUNTAQUI (RURAL)
ALEJANDRO LABAKA (220153),ALEJANDRO LABAKA (220153),ALEJANDRO LABAKA
PIÑAS (071050),PIÑAS (071050),PIÑAS
PASAJE (070950),PASAJE (070950),PASAJE
CATAMAYO (LA TOMA) (110350),CATAMAYO (LA TOMA) (110350),CATAMAYO (LA TOMA)
SIMON BOLIVAR (JULIO MORENO) (240155),SIMON BOLIVAR (JULIO MORENO) (240155),SIMON BOLIVAR (JULIO MORENO)
MALCHINGUI (170452),MALCHINGUI (170452),MALCHINGUI
EL CHACO (150450),EL CHACO (150450),EL CHACO
AMAGUAÑA (170152),AMAGUAÑA (170152),AMAGUAÑA
PALENQUE (120950),PALENQUE (120950),PALENQUE
PARAÍSO (091904),PARAÍSO (091904),PARAÍSO
TURI (010169),TURI (010169),TURI
YANAYACU - MOCHAPATA (CAB. EN YANAYACU) (180652),YANAYACU - MOCHAPATA (CAB. EN YANAYACU) (180652),YANAYACU - MOCHAPATA (CAB. EN YANAYACU)
LA VICTORIA (RURAL) (071450),LA VICTORIA (RURAL) (071450),LA VICTORIA (RURAL)
BAEZA (150750),BAEZA (150750),BAEZA
LOMA DE FRANCO (070902),LOMA DE FRANCO (070902),LOMA DE FRANCO
SAN FCO. DE NATABUELA (100252),SAN FCO. DE NATABUELA (100252),SAN FCO. DE NATABUELA
PALMALES (070254),PALMALES (070254),PALMALES
MONAY (010109),MONAY (010109),MONAY
CUYABENO (210751),CUYABENO (210751),CUYABENO
*SEVILLA DE ORO (010560),*SEVILLA DE ORO (010560),*SEVILLA DE ORO (010560)
SANTA ROSA DE CUZUBAMBA (170255),SANTA ROSA DE CUZUBAMBA (170255),SANTA ROSA DE CUZUBAMBA
SIDCAY (010166),SIDCAY (010166),SIDCAY
SAN PABLO (SAN PABLO DE ATENAS) (020554),SAN PABLO (SAN PABLO DE ATENAS) (020554),SAN PABLO (SAN PABLO DE ATENAS)
URBINA (080562),URBINA (080562),URBINA
PALETILLAS (111354),PALETILLAS (111354),PALETILLAS
LOS ANDES (040252),LOS ANDES (040252),LOS ANDES
SIMON PLATA TORRES (080105),SIMON PLATA TORRES (080105),SIMON PLATA TORRES
CANCHAGUA (050651),CANCHAGUA (050651),CANCHAGUA
TACAMOROS (111252),TACAMOROS (111252),TACAMOROS
SAN JACINTO DE WAKAMBEIS (140853),SAN JACINTO DE WAKAMBEIS (140853),SAN JACINTO DE WAKAMBEIS
RIOVERDE (080750),RIOVERDE (080750),RIOVERDE
CELICA (110450),CELICA (110450),CELICA
SAN PABLO DE TENTA (111156),SAN PABLO DE TENTA (111156),SAN PABLO DE TENTA
YANUNCAY (010114),YANUNCAY (010114),YANUNCAY
ACHUPALLAS (060251),ACHUPALLAS (060251),ACHUPALLAS
ASUNCION (140651),ASUNCION (140651),ASUNCION
JUAN MONTALVO (170203),JUAN MONTALVO (170203),JUAN MONTALVO
EL SAGRARIO (110101),EL SAGRARIO (110101),EL SAGRARIO
VICENTINO (111055),VICENTINO (111055),VICENTINO
LOGROÑO (141050),LOGROÑO (141050),LOGROÑO
LA CANELA (190854),LA CANELA (190854),LA CANELA
CHILLANES (020250),CHILLANES (020250),CHILLANES
PUERTO QUITO (170950),PUERTO QUITO (170950),PUERTO QUITO
PACTO (170172),PACTO (170172),PACTO
CHANGAIMINA (LA LIBERTAD) (110751),CHANGAIMINA (LA LIBERTAD) (110751),CHANGAIMINA (LA LIBERTAD)
PURUNUMA (EGUIGUREN) (110754),PURUNUMA (EGUIGUREN) (110754),PURUNUMA (EGUIGUREN)
AZOGUES (030150),AZOGUES (030150),AZOGUES
LA VICTORIA (050455),LA VICTORIA (050455),LA VICTORIA
PUERTO BOLÍVAR (070103),PUERTO BOLÍVAR (070103),PUERTO BOLÍVAR
OLMEDO (PESILLO) (170253),OLMEDO (PESILLO) (170253),OLMEDO (PESILLO)
SAN VICENTE DE HUATICOCHA (220455),SAN VICENTE DE HUATICOCHA (220455),SAN VICENTE DE HUATICOCHA
JULCUY (130653),JULCUY (130653),JULCUY
TIMBIRE (080264),TIMBIRE (080264),TIMBIRE
CHILLOGALLO (170108),CHILLOGALLO (170108),CHILLOGALLO
MACHALA (RURAL) (070150),MACHALA (RURAL) (070150),MACHALA (RURAL)
SAN LORENZO (130851),SAN LORENZO (130851),SAN LORENZO
BOLIVAR (040250),BOLIVAR (040250),BOLIVAR
SAN ANTONIO DE BAYUSHIG (060954),SAN ANTONIO DE BAYUSHIG (060954),SAN ANTONIO DE BAYUSHIG
SAN BARTOLOME (010955),SAN BARTOLOME (010955),SAN BARTOLOME
SAN LORENZO (020156),SAN LORENZO (020156),SAN LORENZO
PINDAL (111450),PINDAL (111450),PINDAL
PELILEO (URBANO) (180701),PELILEO (URBANO) (180701),PELILEO (URBANO)
18 DE OCTUBRE (130108),18 DE OCTUBRE (130108),18 DE OCTUBRE
DISTRITO METROPOLITANO DE QUITO (RURAL) (170150),DISTRITO METROPOLITANO DE QUITO (RURAL) (170150),DISTRITO METROPOLITANO DE QUITO (RURAL)
SAN FRANCISCO (030104),SAN FRANCISCO (030104),SAN FRANCISCO
VINCES CENTRAL (120802),VINCES CENTRAL (120802),VINCES CENTRAL
SAN ISIDRO (071453),SAN ISIDRO (071453),SAN ISIDRO
SELVA ALEGRE (080260),SELVA ALEGRE (080260),SELVA ALEGRE
ROCAFUERTE (080755),ROCAFUERTE (080755),ROCAFUERTE
MERCADILLO (111054),MERCADILLO (111054),MERCADILLO
SANGOLQUI (URBANO) (170501),SANGOLQUI (URBANO) (170501),SANGOLQUI (URBANO)
TARACOA (NUEVA ESPERANZA: YUCA) (220152),TARACOA (NUEVA ESPERANZA: YUCA) (220152),TARACOA (NUEVA ESPERANZA: YUCA)
COMITE DEL PUEBLO (170105),COMITE DEL PUEBLO (170105),COMITE DEL PUEBLO
YAUPI (141051),YAUPI (141051),YAUPI
LLANO CHICO (170165),LLANO CHICO (170165),LLANO CHICO
CHAMBO (060450),CHAMBO (060450),CHAMBO
EL PAN (011250),EL PAN (011250),EL PAN
EL CHORRO (190252),EL CHORRO (190252),EL CHORRO
TANICUCHI (050161),TANICUCHI (050161),TANICUCHI
ARENILLAS (070250),ARENILLAS (070250),ARENILLAS
PATRICIA PILAR (121051),PATRICIA PILAR (121051),PATRICIA PILAR
TONSUPA (080654),TONSUPA (080654),TONSUPA
CRUZPAMBA (CAB EN CARLOS BUSTAMANTE) (110451),CRUZPAMBA (CAB EN CARLOS BUSTAMANTE) (110451),CRUZPAMBA (CAB EN CARLOS BUSTAMANTE)
ÁNGEL POLIBIO CHÁVES (020101),ÁNGEL POLIBIO CHÁVES (020101),ÁNGEL POLIBIO CHÁVES
SAN RAFAEL (100458),SAN RAFAEL (100458),SAN RAFAEL
EL DORADO (220154),EL DORADO (220154),EL DORADO
SAN JOSE (070354),SAN JOSE (070354),SAN JOSE
SAN ANTONIO (170180),SAN ANTONIO (170180),SAN ANTONIO
HUACHI GRANDE (180155),HUACHI GRANDE (180155),HUACHI GRANDE
ZONA EN ESTUDIO: AZUAY - GUAYAS (900100),ZONA EN ESTUDIO: AZUAY - GUAYAS (900100),ZONA EN ESTUDIO: AZUAY - GUAYAS
EL GUAYACAN (120504),EL GUAYACAN (120504),EL GUAYACAN
PAUTE (010550),PAUTE (010550),PAUTE
QUEVEDO (URBANO) (120501),QUEVEDO (URBANO) (120501),QUEVEDO (URBANO)
